hour,cart,purchase,view
0,20460,5771,729308
1,42242,9741,1350441
2,87929,25124,2632243
3,153230,55970,3740363
4,204527,85235,4692790
5,233738,101432,5234702
6,246479,109432,5468082
7,252577,112111,5555772
8,257025,120458,5701665
9,254534,126617,5624290
10,251789,120946,5552230
11,243416,111582,5421757
12,224527,103145,5398504
13,219917,98809,5944610
14,222856,96837,6693970
15,223795,90231,7117965
16,212868,81993,7270950
17,191137,76215,6882199
18,163150,47967,5180650
19,107071,33811,3575999
20,65933,20045,2089835
21,38360,12597,1212983
22,22519,8126,722995
23,15367,5593,541206
