event_type,brand,count
cart,samsung,900469
cart,apple,698749
cart,xiaomi,364516
cart,huawei,115892
cart,cordiant,65317
cart,oppo,65174
cart,lg,62940
cart,sony,44992
cart,artel,40400
cart,lucente,39050
purchase,samsung,372923
purchase,apple,308937
purchase,xiaomi,124908
purchase,huawei,47204
purchase,cordiant,27534
purchase,lucente,26137
purchase,oppo,25971
purchase,lg,21606
purchase,sony,17038
purchase,artel,15391
view,samsung,11898628
view,apple,9374247
view,xiaomi,7232401
view,huawei,2358235
view,lucente,1775749
view,lg,1574848
view,bosch,1480771
view,oppo,1203440
view,sony,1193071
view,acer,1084065
